{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 10.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6083333333333333, 'f1_macro_1': 0.6076121758918905, 'f1_micro_1': 0.6083333333333333, 'accuracy_3': 0.475, 'f1_macro_3': 0.4687210182318542, 'f1_micro_3': 0.47500000000000003, 'accuracy_5': 0.4166666666666667, 'f1_macro_5': 0.41594949494949496, 'f1_micro_5': 0.4166666666666667, 'accuracy_7': 0.39166666666666666, 'f1_macro_7': 0.38805634944765377, 'f1_micro_7': 0.39166666666666666}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 10.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.65, 'f1_macro_1': 0.6559654872263567, 'f1_micro_1': 0.65, 'accuracy_3': 0.49166666666666664, 'f1_macro_3': 0.47899487838729327, 'f1_micro_3': 0.49166666666666664, 'accuracy_5': 0.4666666666666667, 'f1_macro_5': 0.45924171683897086, 'f1_micro_5': 0.4666666666666667, 'accuracy_7': 0.4666666666666667, 'f1_macro_7': 0.46082977207977205, 'f1_micro_7': 0.4666666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 10.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6583333333333333, 'f1_macro_1': 0.6591391493795585, 'f1_micro_1': 0.6583333333333333, 'accuracy_3': 0.5, 'f1_macro_3': 0.48836012345441604, 'f1_micro_3': 0.5, 'accuracy_5': 0.4166666666666667, 'f1_macro_5': 0.4120173598331493, 'f1_micro_5': 0.4166666666666667, 'accuracy_7': 0.4083333333333333, 'f1_macro_7': 0.3919403559403559, 'f1_micro_7': 0.4083333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 10.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.675, 'f1_macro_1': 0.668261134576924, 'f1_micro_1': 0.675, 'accuracy_3': 0.49166666666666664, 'f1_macro_3': 0.472480675648666, 'f1_micro_3': 0.49166666666666664, 'accuracy_5': 0.5083333333333333, 'f1_macro_5': 0.49877999937039463, 'f1_micro_5': 0.5083333333333333, 'accuracy_7': 0.5166666666666667, 'f1_macro_7': 0.5079825747008408, 'f1_micro_7': 0.5166666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 100.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6666666666666666, 'f1_macro_1': 0.6482263713298196, 'f1_micro_1': 0.6666666666666666, 'accuracy_3': 0.45, 'f1_macro_3': 0.43956595342311156, 'f1_micro_3': 0.45, 'accuracy_5': 0.4166666666666667, 'f1_macro_5': 0.4233243553831789, 'f1_micro_5': 0.4166666666666667, 'accuracy_7': 0.35833333333333334, 'f1_macro_7': 0.34477020038784745, 'f1_micro_7': 0.35833333333333334}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 100.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6833333333333333, 'f1_macro_1': 0.6856027216378543, 'f1_micro_1': 0.6833333333333333, 'accuracy_3': 0.5333333333333333, 'f1_macro_3': 0.5240000642632221, 'f1_micro_3': 0.5333333333333333, 'accuracy_5': 0.49166666666666664, 'f1_macro_5': 0.47092964187963515, 'f1_micro_5': 0.49166666666666664, 'accuracy_7': 0.49166666666666664, 'f1_macro_7': 0.4692687921240749, 'f1_micro_7': 0.49166666666666664}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 100.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6916666666666667, 'f1_macro_1': 0.6944620183507837, 'f1_micro_1': 0.6916666666666667, 'accuracy_3': 0.5166666666666667, 'f1_macro_3': 0.5181129685538085, 'f1_micro_3': 0.5166666666666667, 'accuracy_5': 0.4166666666666667, 'f1_macro_5': 0.3963278465600447, 'f1_micro_5': 0.4166666666666667, 'accuracy_7': 0.425, 'f1_macro_7': 0.41037256906174474, 'f1_micro_7': 0.425}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 100.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7, 'f1_macro_1': 0.7015921523175528, 'f1_micro_1': 0.7, 'accuracy_3': 0.48333333333333334, 'f1_macro_3': 0.46539671616108225, 'f1_micro_3': 0.48333333333333334, 'accuracy_5': 0.4166666666666667, 'f1_macro_5': 0.41055072463768116, 'f1_micro_5': 0.4166666666666667, 'accuracy_7': 0.36666666666666664, 'f1_macro_7': 0.35039610329932913, 'f1_micro_7': 0.36666666666666664}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.7, 'reg': 100.0, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6833333333333333, 'f1_macro_1': 0.6761049643245605, 'f1_micro_1': 0.6833333333333333, 'accuracy_3': 0.5, 'f1_macro_3': 0.4656575097020391, 'f1_micro_3': 0.5, 'accuracy_5': 0.39166666666666666, 'f1_macro_5': 0.3724280436812406, 'f1_micro_5': 0.39166666666666666, 'accuracy_7': 0.38333333333333336, 'f1_macro_7': 0.370124019517589, 'f1_micro_7': 0.38333333333333336}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': True, 'metric': 'euclidean', 'm': 0.8, 'reg': 0.1, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6416666666666667, 'f1_macro_1': 0.6299149430691013, 'f1_micro_1': 0.6416666666666667, 'accuracy_3': 0.5416666666666666, 'f1_macro_3': 0.5131472257923057, 'f1_micro_3': 0.5416666666666666, 'accuracy_5': 0.55, 'f1_macro_5': 0.5313818061200407, 'f1_micro_5': 0.55, 'accuracy_7': 0.5333333333333333, 'f1_macro_7': 0.5179258661267657, 'f1_micro_7': 0.5333333333333333}
