{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 500.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7583333333333333, 'f1_macro_1': 0.755919080919081, 'f1_micro_1': 0.7583333333333333, 'accuracy_3': 0.5416666666666666, 'f1_macro_3': 0.5390631904928112, 'f1_micro_3': 0.5416666666666666, 'accuracy_5': 0.5083333333333333, 'f1_macro_5': 0.5098869983213148, 'f1_micro_5': 0.5083333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 0.1, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.6083333333333333, 'f1_macro_1': 0.6056860881300241, 'f1_micro_1': 0.6083333333333333, 'accuracy_3': 0.5166666666666667, 'f1_macro_3': 0.504579254079254, 'f1_micro_3': 0.5166666666666667, 'accuracy_5': 0.525, 'f1_macro_5': 0.5010887790370548, 'f1_micro_5': 0.525}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 1.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7666666666666667, 'f1_macro_1': 0.7708590357011409, 'f1_micro_1': 0.7666666666666667, 'accuracy_3': 0.575, 'f1_macro_3': 0.5735835058661146, 'f1_micro_3': 0.575, 'accuracy_5': 0.5833333333333334, 'f1_macro_5': 0.5752292590450485, 'f1_micro_5': 0.5833333333333334}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 10.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8583333333333333, 'f1_macro_1': 0.8582910882221227, 'f1_micro_1': 0.8583333333333333, 'accuracy_3': 0.6166666666666667, 'f1_macro_3': 0.6199607710134025, 'f1_micro_3': 0.6166666666666667, 'accuracy_5': 0.5166666666666667, 'f1_macro_5': 0.5183914698770387, 'f1_micro_5': 0.5166666666666667}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 100.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7666666666666667, 'f1_macro_1': 0.7658023901712541, 'f1_micro_1': 0.7666666666666667, 'accuracy_3': 0.6833333333333333, 'f1_macro_3': 0.6912869174729788, 'f1_micro_3': 0.6833333333333333, 'accuracy_5': 0.575, 'f1_macro_5': 0.5735031693452746, 'f1_micro_5': 0.575}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 200.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.85, 'f1_macro_1': 0.8428311881355359, 'f1_micro_1': 0.85, 'accuracy_3': 0.625, 'f1_macro_3': 0.6244211759644197, 'f1_micro_3': 0.625, 'accuracy_5': 0.5, 'f1_macro_5': 0.48349502621561447, 'f1_micro_5': 0.5}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 500.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7916666666666666, 'f1_macro_1': 0.7879633525515879, 'f1_micro_1': 0.7916666666666666, 'accuracy_3': 0.5833333333333334, 'f1_macro_3': 0.589190983196873, 'f1_micro_3': 0.5833333333333334, 'accuracy_5': 0.5583333333333333, 'f1_macro_5': 0.5511332673697731, 'f1_micro_5': 0.5583333333333333}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 0.1, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7083333333333334, 'f1_macro_1': 0.6971452350747703, 'f1_micro_1': 0.7083333333333334, 'accuracy_3': 0.5333333333333333, 'f1_macro_3': 0.5062795248553763, 'f1_micro_3': 0.5333333333333333, 'accuracy_5': 0.5416666666666666, 'f1_macro_5': 0.5281339053975317, 'f1_micro_5': 0.5416666666666666}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 1.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.8333333333333334, 'f1_macro_1': 0.8300249656676705, 'f1_micro_1': 0.8333333333333334, 'accuracy_3': 0.6583333333333333, 'f1_macro_3': 0.6455747955747955, 'f1_micro_3': 0.6583333333333333, 'accuracy_5': 0.575, 'f1_macro_5': 0.5439984937970692, 'f1_micro_5': 0.575}
{'test_size': 0.5, 'outlier_ratio': None, 'random_outlier': False, 'metric': 'euclidean', 'm': None, 'reg': 10.0, 'without_outlier': True, 'algo': 'parial-order-gromov', 'accuracy_1': 0.7833333333333333, 'f1_macro_1': 0.778960851844147, 'f1_micro_1': 0.7833333333333333, 'accuracy_3': 0.5916666666666667, 'f1_macro_3': 0.6004797196910503, 'f1_micro_3': 0.5916666666666667, 'accuracy_5': 0.5583333333333333, 'f1_macro_5': 0.5670263683737577, 'f1_micro_5': 0.5583333333333333}
